date,price
1957.0,411041792.0
1959.0,67947725.0
1960.0,5242880.0
1965.0,2642412.0
1970.0,734003.0
1973.0,399360.0
1974.0,314573.0
1975.0,421888.0
1975.08,180224.0
1975.25,67584.0
1975.75,49920.0
1976.0,40704.0
1976.17,48960.0
1976.42,23040.0
1976.58,32000.0
1977.08,36800.0
1978.17,28000.0
1978.25,29440.0
1978.33,19200.0
1978.5,24000.0
1978.58,16000.0
1978.75,15200.0
1979.0,10528.0
1979.75,6704.0
1980.0,6480.0
1981.0,8800.0
1981.58,4479.0
1982.0,3520.0
1982.17,4464.0
1982.67,1980.0
1983.0,2396.0
1983.67,1980.0
1984.0,1379.0
1984.58,1331.0
1985.0,880.0
1985.33,720.0
1985.42,550.0
1985.5,420.0
1985.58,350.0
1985.67,300.0
1985.83,300.0
1985.92,300.0
1986.0,300.0
1986.08,300.0
1986.17,300.0
1986.25,300.0
1986.33,190.0
1986.42,190.0
1986.5,190.0
1986.58,190.0
1986.67,190.0
1986.75,190.0
1986.92,190.0
1987.0,176.0
1987.08,176.0
1987.17,157.0
1987.25,154.0
1987.33,154.0
1987.42,154.0
1987.5,154.0
1987.58,154.0
1987.67,163.0
1987.75,133.0
1987.83,163.0
1987.92,163.0
1988.0,163.0
1988.08,182.0
1988.17,199.0
1988.33,199.0
1988.42,199.0
1988.5,505.0
1988.58,505.0
1988.67,505.0
1988.75,505.0
1988.83,505.0
1988.92,505.0
1989.0,505.0
1989.08,505.0
1989.17,505.0
1989.25,505.0
1989.42,344.0
1989.5,197.0
1989.58,188.0
1989.67,188.0
1989.75,128.0
1989.83,117.0
1989.92,113.0
1990.0,106.0
1990.17,98.3
1990.33,98.3
1990.42,89.5
1990.5,82.8
1990.58,81.1
1990.67,71.5
1990.75,59.0
1990.83,51.0
1990.92,45.5
1991.0,44.5
1991.08,44.5
1991.17,45.0
1991.25,45.0
1991.33,45.0
1991.42,43.8
1991.5,43.8
1991.58,41.3
1991.67,46.3
1991.75,45.0
1991.83,39.8
1991.92,39.8
1992.0,36.3
1992.08,36.3
1992.17,36.3
1992.25,34.8
1992.33,30.0
1992.42,32.5
1992.5,33.5
1992.58,31.0
1992.67,27.5
1992.75,26.3
1992.83,26.3
1992.92,26.3
1993.0,33.1
1993.08,27.5
1993.17,27.5
1993.25,27.5
1993.33,27.5
1993.42,30.0
1993.5,30.0
1993.58,30.0
1993.67,30.0
1993.75,36.0
1993.83,39.8
1993.92,35.8
1994.0,35.8
1994.08,35.8
1994.17,36.0
1994.25,37.3
1994.33,37.3
1994.42,37.3
1994.5,38.5
1994.58,37.0
1994.67,34.0
1994.75,33.5
1994.83,32.3
1994.92,32.3
1995.0,32.3
1995.08,32.0
1995.17,32.0
1995.25,31.2
1995.33,31.2
1995.42,31.1
1995.5,31.2
1995.58,30.6
1995.67,33.1
1995.75,33.1
1995.83,30.9
1995.92,30.9
1996.0,29.9
1996.08,28.8
1996.17,26.1
1996.25,24.7
1996.33,17.2
1996.42,14.9
1996.5,11.3
1996.58,9.06
1996.67,8.44
1996.75,8.0
1996.83,5.25
1996.92,5.25
1997.0,4.63
1997.08,3.63
1997.17,3.0
1997.25,3.0
1997.33,3.0
1997.42,3.69
1997.5,4.0
1997.58,4.13
1997.67,3.63
1997.75,3.41
1997.83,3.25
1997.92,2.16
1998.0,2.16
1998.08,0.91
1998.17,0.97
1998.25,1.22
1998.33,1.19
1998.42,0.97
1998.58,1.03
1998.67,0.97
1998.75,1.16
1998.83,0.84
1998.92,0.84
1999.08,1.44
1999.13,0.84
1999.17,1.25
1999.25,1.25
1999.33,0.86
1999.5,0.78
1999.67,0.87
1999.75,1.04
1999.83,1.34
1999.92,2.35
2000.0,1.56
2000.08,1.48
2000.17,1.08
2000.25,0.84
2000.33,0.7
2000.42,0.9
2000.5,0.77
2000.58,0.84
2000.67,1.07
2000.75,1.12
