SK_ID_CURR,TARGET
100001,0.13
100005,0.21
100013,0.05
100028,0.14
100038,0.2
100042,0.15
100057,0.12
100065,0.14
100066,0.11
100067,0.18
100074,0.21
100090,0.12
100091,0.15
100092,0.19
100106,0.13
100107,0.25
100109,0.16
100117,0.2
100128,0.25
100141,0.1
100150,0.09
100168,0.09
100169,0.11
100170,0.12
100171,0.1
100172,0.21
100184,0.15
100187,0.18
100212,0.24
100222,0.23
100223,0.09
100232,0.11
100241,0.2
100245,0.12
100253,0.14
100256,0.21
100271,0.09
100278,0.25
100280,0.2
100306,0.17
100311,0.31
100312,0.14
100330,0.22
100331,0.1
100352,0.18
100358,0.15
100367,0.09
100382,0.23
100384,0.17
100385,0.17
100386,0.19
100399,0.15
100404,0.25
100416,0.15
100422,0.22
100426,0.13
100438,0.13
100444,0.26
100445,0.1
100446,0.16
100447,0.06
100450,0.18
100466,0.14
100483,0.11
100484,0.18
100494,0.22
100510,0.27
100512,0.23
100517,0.08
100548,0.12
100551,0.09
100552,0.15
100553,0.09
100561,0.18
100568,0.23
100569,0.07
100591,0.2
100592,0.09
100602,0.11
100607,0.11
100613,0.15
100617,0.22
100618,0.19
100622,0.23
100625,0.19
100677,0.2
100699,0.1
100702,0.42
100711,0.2
100729,0.16
100740,0.2
100744,0.19
100745,0.17
100747,0.18
100751,0.25
100752,0.27
100753,0.24
100754,0.14
100760,0.08
100762,0.18
100763,0.16
100765,0.07
100770,0.12
100772,0.11
100777,0.08
100791,0.07
100792,0.08
100797,0.13
100823,0.19
100826,0.18
100830,0.1
100836,0.33
100872,0.22
100910,0.15
100913,0.28
100918,0.22
100931,0.06
100952,0.13
100953,0.14
100965,0.26
100970,0.15
100982,0.17
100983,0.32
100984,0.1
100987,0.11
100997,0.09
100998,0.19
101002,0.19
101005,0.26
101008,0.24
101020,0.16
101021,0.14
101024,0.37
101025,0.25
101026,0.13
101031,0.15
101041,0.13
101051,0.12
101055,0.16
101056,0.31
101057,0.14
101064,0.1
101079,0.2
101087,0.15
101090,0.17
101092,0.19
101097,0.13
101099,0.06
101107,0.2
101118,0.11
101125,0.15
101126,0.04
101128,0.16
101136,0.18
101140,0.22
101149,0.19
101160,0.18
101169,0.26
101181,0.19
101186,0.07
101190,0.21
101193,0.17
101194,0.23
101198,0.21
101200,0.05
101204,0.07
101211,0.18
101213,0.13
101223,0.13
101225,0.1
101237,0.22
101243,0.12
101244,0.23
101258,0.12
101259,0.33
101268,0.17
101269,0.13
101271,0.16
101279,0.09
101281,0.24
101287,0.05
101292,0.14
101294,0.15
101296,0.21
101297,0.09
101299,0.21
101301,0.12
101305,0.18
101308,0.14
101318,0.06
101327,0.32
101329,0.11
101332,0.17
101337,0.21
101343,0.1
101345,0.1
101346,0.07
101353,0.04
101354,0.16
101355,0.29
101356,0.1
101362,0.09
101363,0.24
101365,0.05
101366,0.27
101367,0.26
101368,0.04
101374,0.13
101380,0.09
101383,0.15
101398,0.11
101399,0.28
101401,0.18
101412,0.16
101426,0.18
101427,0.36
101428,0.29
101429,0.27
101434,0.1
101440,0.17
101448,0.13
101449,0.16
101465,0.2
101467,0.12
101472,0.17
101478,0.21
101497,0.17
101504,0.19
101547,0.18
101548,0.19
101555,0.18
101570,0.16
101572,0.15
101578,0.22
101580,0.2
101588,0.29
101602,0.16
101610,0.28
101614,0.18
101616,0.16
101643,0.17
101644,0.1
101649,0.18
101650,0.17
101665,0.1
101667,0.17
101669,0.13
101674,0.19
101675,0.1
101678,0.2
101682,0.19
101686,0.15
101697,0.4
101700,0.35
101711,0.11
101714,0.05
101715,0.36
101728,0.14
101732,0.13
101757,0.28
101758,0.12
101759,0.12
101762,0.12
101764,0.11
101780,0.32
101784,0.09
101789,0.1
101816,0.16
101819,0.12
101827,0.09
101863,0.2
101867,0.22
101870,0.12
101873,0.18
101878,0.26
101879,0.14
101880,0.11
101887,0.11
101897,0.09
101901,0.2
101903,0.32
101920,0.12
101921,0.12
101922,0.23
101961,0.24
101962,0.11
101971,0.24
101976,0.25
102002,0.19
102005,0.07
102007,0.31
102017,0.07
102019,0.29
102029,0.05
102051,0.29
102052,0.11
102054,0.11
102062,0.14
102067,0.3
102068,0.18
102070,0.12
102090,0.19
102092,0.11
102099,0.18
102100,0.15
102112,0.11
102113,0.16
102122,0.26
102123,0.13
102125,0.15
102126,0.31
102146,0.15
102147,0.27
102151,0.14
102158,0.2
102159,0.1
102162,0.2
102165,0.11
102166,0.11
102174,0.1
102193,0.24
102198,0.12
102205,0.16
102206,0.09
102218,0.08
102221,0.09
102230,0.15
102238,0.16
102248,0.16
102252,0.29
102259,0.19
102262,0.21
102273,0.19
102286,0.26
102293,0.08
102294,0.1
102296,0.06
102298,0.12
102303,0.1
102309,0.22
102315,0.12
102340,0.11
102342,0.22
102344,0.17
102346,0.21
102347,0.19
102374,0.21
102380,0.1
102387,0.1
102393,0.15
102403,0.17
102413,0.13
102414,0.11
102415,0.11
102416,0.15
102439,0.24
102441,0.12
102443,0.14
102444,0.22
102445,0.27
102448,0.09
102449,0.13
