SK_ID_CURR,TARGET
100001,0.18
100005,0.25
100013,0.16
100028,0.11
100038,0.18
100042,0.19
100057,0.17
100065,0.2
100066,0.19
100067,0.26
100074,0.19
100090,0.19
100091,0.27
100092,0.24
100106,0.16
100107,0.27
100109,0.27
100117,0.14
100128,0.18
100141,0.17
100150,0.17
100168,0.18
100169,0.21
100170,0.12
100171,0.22
100172,0.34
100184,0.18
100187,0.27
100212,0.29
100222,0.19
100223,0.19
100232,0.2
100241,0.31
100245,0.17
100253,0.14
100256,0.2
100271,0.2
100278,0.36
100280,0.2
100306,0.3
100311,0.25
100312,0.19
100330,0.25
100331,0.16
100352,0.21
100358,0.21
100367,0.19
100382,0.28
100384,0.22
100385,0.2
100386,0.17
100399,0.11
100404,0.28
100416,0.23
100422,0.24
100426,0.17
100438,0.16
100444,0.18
100445,0.16
100446,0.3
100447,0.08
100450,0.19
100466,0.1
100483,0.09
100484,0.22
100494,0.19
100510,0.17
100512,0.11
100517,0.18
100548,0.11
100551,0.1
100552,0.28
100553,0.13
100561,0.2
100568,0.38
100569,0.18
100591,0.25
100592,0.08
100602,0.17
100607,0.16
100613,0.27
100617,0.29
100618,0.24
100622,0.27
100625,0.25
100677,0.31
100699,0.16
100702,0.36
100711,0.26
100729,0.21
100740,0.38
100744,0.26
100745,0.16
100747,0.24
100751,0.3
100752,0.27
100753,0.3
100754,0.24
100760,0.27
100762,0.26
100763,0.14
100765,0.14
100770,0.21
100772,0.17
100777,0.22
100791,0.12
100792,0.16
100797,0.13
100823,0.21
100826,0.15
100830,0.14
100836,0.34
100872,0.29
100910,0.19
100913,0.31
100918,0.27
100931,0.16
100952,0.12
100953,0.21
100965,0.3
100970,0.05
100982,0.28
100983,0.38
100984,0.23
100987,0.18
100997,0.17
100998,0.28
101002,0.22
101005,0.25
101008,0.36
101020,0.22
101021,0.24
101024,0.27
101025,0.32
101026,0.21
101031,0.05
101041,0.17
101051,0.06
101055,0.23
101056,0.43
101057,0.17
101064,0.16
101079,0.28
101087,0.19
101090,0.15
101092,0.27
101097,0.26
101099,0.1
101107,0.35
101118,0.24
101125,0.19
101126,0.14
101128,0.19
101136,0.32
101140,0.28
101149,0.08
101160,0.16
101169,0.2
101181,0.33
101186,0.19
101190,0.2
101193,0.27
101194,0.27
101198,0.23
101200,0.14
101204,0.19
101211,0.24
101213,0.19
101223,0.13
101225,0.15
101237,0.26
101243,0.26
101244,0.26
101258,0.07
101259,0.3
101268,0.26
101269,0.18
101271,0.32
101279,0.15
101281,0.16
101287,0.15
101292,0.14
101294,0.12
101296,0.18
101297,0.14
101299,0.22
101301,0.14
101305,0.21
101308,0.19
101318,0.1
101327,0.3
101329,0.09
101332,0.15
101337,0.18
101343,0.18
101345,0.19
101346,0.16
101353,0.09
101354,0.23
101355,0.19
101356,0.08
101362,0.19
101363,0.27
101365,0.1
101366,0.18
101367,0.25
101368,0.15
101374,0.18
101380,0.18
101383,0.11
101398,0.16
101399,0.41
101401,0.31
101412,0.24
101426,0.23
101427,0.41
101428,0.22
101429,0.34
101434,0.22
101440,0.25
101448,0.24
101449,0.15
101465,0.22
101467,0.2
101472,0.23
101478,0.22
101497,0.22
101504,0.3
101547,0.25
101548,0.26
101555,0.27
101570,0.21
101572,0.23
101578,0.24
101580,0.31
101588,0.32
101602,0.2
101610,0.32
101614,0.22
101616,0.25
101643,0.18
101644,0.27
101649,0.25
101650,0.15
101665,0.1
101667,0.2
101669,0.12
101674,0.23
101675,0.07
101678,0.21
101682,0.25
101686,0.28
101697,0.37
101700,0.34
101711,0.07
101714,0.13
101715,0.29
101728,0.24
101732,0.2
101757,0.21
101758,0.17
101759,0.16
101762,0.1
101764,0.15
101780,0.39
101784,0.12
101789,0.12
101816,0.22
101819,0.25
101827,0.08
101863,0.27
101867,0.24
101870,0.09
101873,0.39
101878,0.26
101879,0.24
101880,0.12
101887,0.2
101897,0.21
101901,0.22
101903,0.26
101920,0.18
101921,0.15
101922,0.12
101961,0.18
101962,0.2
101971,0.16
101976,0.24
102002,0.27
102005,0.13
102007,0.37
102017,0.18
102019,0.33
102029,0.2
102051,0.39
102052,0.09
102054,0.18
102062,0.19
102067,0.25
102068,0.18
102070,0.2
102090,0.24
102092,0.19
102099,0.24
102100,0.12
102112,0.18
102113,0.15
102122,0.29
102123,0.2
102125,0.14
102126,0.34
102146,0.2
102147,0.25
102151,0.15
102158,0.34
102159,0.14
102162,0.22
102165,0.15
102166,0.14
102174,0.09
102193,0.28
102198,0.23
102205,0.28
102206,0.14
102218,0.16
102221,0.12
102230,0.08
102238,0.14
102248,0.2
102252,0.41
102259,0.21
102262,0.21
102273,0.18
102286,0.22
102293,0.11
102294,0.15
102296,0.15
102298,0.23
102303,0.17
102309,0.35
102315,0.24
102340,0.17
102342,0.21
102344,0.16
102346,0.18
102347,0.11
102374,0.22
102380,0.18
102387,0.19
102393,0.1
102403,0.13
102413,0.23
102414,0.17
102415,0.17
102416,0.13
102439,0.21
102441,0.2
102443,0.16
102444,0.19
102445,0.33
102448,0.19
102449,0.17
102450,0.36
102456,0.14
102458,0.19
102459,0.15
102465,0.2
102470,0.26
102471,0.23
102475,0.24
102476,0.21
102506,0.2
102509,0.16
102519,0.16
102522,0.21
102545,0.13
102549,0.12
102562,0.16
102563,0.16
102568,0.24
102582,0.22
102592,0.17
102597,0.21
102605,0.15
102614,0.18
102617,0.25
102634,0.23
102652,0.19
102655,0.09
102671,0.12
102694,0.3
102701,0.19
102703,0.13
102704,0.08
102713,0.11
102720,0.25
102731,0.18
102733,0.2
102749,0.25
102755,0.18
102763,0.17
102770,0.19
102772,0.25
102799,0.36
102838,0.21
102854,0.07
102862,0.25
102863,0.14
102867,0.19
102868,0.16
102878,0.18
102887,0.13
102898,0.31
102904,0.12
102912,0.16
102919,0.07
102927,0.19
102932,0.1
102933,0.25
102935,0.14
102958,0.17
102969,0.28
102971,0.17
102975,0.18
102979,0.16
102982,0.09
102987,0.33
102989,0.27
102995,0.18
102996,0.24
103000,0.16
103001,0.32
103004,0.23
103010,0.12
103025,0.36
103029,0.23
103046,0.23
103056,0.16
103062,0.23
103078,0.16
103083,0.15
103092,0.17
103096,0.14
103097,0.29
103102,0.31
103112,0.25
103132,0.1
103144,0.24
103145,0.19
103146,0.12
103147,0.24
103158,0.15
103171,0.3
103173,0.17
103184,0.15
103195,0.25
103196,0.2
103206,0.14
103230,0.34
103231,0.32
103232,0.18
103239,0.22
103240,0.28
103243,0.19
103252,0.23
103258,0.2
103259,0.31
103279,0.18
103280,0.15
103286,0.17
103287,0.37
103290,0.27
103298,0.21
103315,0.11
103319,0.18
103334,0.22
103336,0.14
103345,0.16
103368,0.2
103371,0.26
103377,0.23
103398,0.18
103404,0.14
103408,0.26
103410,0.16
103418,0.19
103420,0.33
103432,0.23
103433,0.18
103436,0.13
103440,0.13
103453,0.19
103459,0.18
103460,0.17
103461,0.06
103462,0.22
103473,0.3
103474,0.14
103475,0.4
103478,0.27
103480,0.27
103484,0.11
103494,0.28
103513,0.21
103515,0.18
103516,0.28
103525,0.22
103541,0.3
103544,0.18
103562,0.3
103570,0.31
103572,0.29
103574,0.13
103575,0.14
103591,0.17
103594,0.2
103609,0.11
103613,0.17
103614,0.23
103615,0.23
103624,0.21
103625,0.35
103628,0.3
103629,0.13
103647,0.21
103648,0.14
103651,0.3
103658,0.17
103668,0.23
103669,0.11
103676,0.18
103682,0.22
103683,0.21
103689,0.15
103725,0.18
103733,0.15
103744,0.17
103762,0.26
103771,0.39
103773,0.11
103783,0.18
103784,0.12
103808,0.1
103812,0.2
103813,0.25
103814,0.24
103818,0.17
103824,0.12
103828,0.12
103830,0.29
103840,0.09
103842,0.29
103847,0.26
103848,0.16
103851,0.13
103854,0.24
103857,0.34
103861,0.09
103862,0.3
103865,0.13
103870,0.18
103876,0.22
103891,0.45
103908,0.19
103914,0.2
103918,0.12
103940,0.14
103963,0.25
103966,0.22
103971,0.24
103980,0.25
103984,0.12
103985,0.12
103998,0.32
104019,0.05
104026,0.11
104035,0.23
104044,0.21
104045,0.12
104047,0.35
104051,0.1
104058,0.11
104063,0.15
104066,0.24
104087,0.12
104089,0.16
104095,0.11
104098,0.25
104104,0.14
104110,0.4
104120,0.16
104122,0.17
104131,0.19
104132,0.23
104135,0.11
104136,0.21
104149,0.18
104150,0.09
104156,0.34
104165,0.26
104175,0.19
104179,0.15
104184,0.3
104206,0.08
104216,0.35
104230,0.21
104257,0.16
104272,0.17
104273,0.21
104278,0.09
104294,0.26
104295,0.17
104297,0.15
104298,0.22
104308,0.22
104318,0.14
104319,0.07
104320,0.33
104327,0.17
104334,0.2
104344,0.3
104350,0.25
104351,0.25
104354,0.17
104369,0.2
104376,0.18
104381,0.13
104384,0.2
104391,0.12
104394,0.17
104398,0.25
104402,0.19
104408,0.13
104409,0.12
104410,0.3
104412,0.18
104417,0.33
104424,0.26
104426,0.08
104435,0.14
104445,0.13
104458,0.16
104460,0.18
104466,0.08
104472,0.14
104473,0.25
104479,0.13
104480,0.13
104482,0.31
104499,0.11
104501,0.08
104502,0.13
104506,0.16
104510,0.11
104512,0.29
104520,0.2
104528,0.24
104529,0.11
104541,0.21
104578,0.17
104584,0.26
104588,0.15
104602,0.22
104610,0.14
104611,0.25
104618,0.26
104620,0.13
104622,0.1
104624,0.09
104625,0.19
104634,0.19
104639,0.17
104646,0.23
104647,0.21
104652,0.16
104670,0.17
104677,0.08
104685,0.17
104691,0.22
104696,0.26
104699,0.17
104712,0.22
104714,0.12
104717,0.23
104718,0.25
104740,0.11
104741,0.09
104743,0.03
104744,0.2
104747,0.26
104767,0.14
104772,0.31
104776,0.32
104779,0.12
104814,0.2
104815,0.16
104830,0.18
104831,0.18
104833,0.19
104839,0.15
104840,0.14
104860,0.18
104861,0.23
104866,0.15
104870,0.13
104877,0.23
104878,0.09
104879,0.11
104880,0.17
104899,0.15
104906,0.12
104907,0.26
104913,0.36
104916,0.29
104921,0.19
104930,0.11
104931,0.24
104936,0.22
104937,0.2
104942,0.16
104943,0.15
104969,0.27
104972,0.26
104988,0.14
105013,0.16
105015,0.21
105019,0.15
105027,0.21
105030,0.21
105035,0.48
105041,0.18
105051,0.22
105056,0.14
105067,0.51
105071,0.26
105072,0.09
105074,0.24
105091,0.25
105101,0.13
105103,0.19
105134,0.14
105139,0.14
105142,0.26
105146,0.23
105163,0.11
105168,0.25
105172,0.11
105176,0.5
105195,0.2
105196,0.32
105197,0.13
105203,0.18
105223,0.24
105227,0.29
105228,0.14
105230,0.24
105231,0.34
105239,0.26
105242,0.23
105244,0.17
105245,0.09
105248,0.15
105249,0.17
105266,0.16
105271,0.31
105276,0.31
105282,0.16
105292,0.2
105297,0.06
105332,0.24
105333,0.12
105343,0.13
105344,0.18
105345,0.21
105357,0.19
105359,0.2
105366,0.23
105367,0.17
105370,0.17
105377,0.16
105390,0.21
105399,0.16
105403,0.16
105404,0.12
105414,0.11
105417,0.16
105425,0.28
105452,0.32
105454,0.26
105456,0.2
105470,0.17
105471,0.1
105483,0.24
105493,0.23
105508,0.25
105514,0.19
105515,0.06
105528,0.45
105529,0.13
105531,0.1
105532,0.17
105558,0.11
105574,0.2
105578,0.08
105584,0.5
105595,0.16
105617,0.33
105618,0.18
105621,0.16
105625,0.2
105629,0.26
105630,0.14
105634,0.09
105635,0.09
105641,0.2
105647,0.27
105648,0.16
105655,0.13
105657,0.13
105672,0.17
105678,0.33
105682,0.2
105691,0.29
105692,0.18
105706,0.19
105712,0.2
105720,0.12
105734,0.22
105735,0.18
105736,0.33
105737,0.15
105738,0.22
105740,0.22
105744,0.15
105747,0.27
105749,0.28
105754,0.27
105758,0.18
105760,0.28
105767,0.13
105784,0.18
105791,0.18
105802,0.33
105807,0.29
105809,0.24
105816,0.19
105817,0.22
105824,0.27
105832,0.14
105856,0.13
105865,0.15
105899,0.26
105906,0.11
105916,0.11
105923,0.22
105937,0.29
105965,0.1
105966,0.22
105968,0.22
105973,0.17
105976,0.27
105978,0.19
105979,0.19
105991,0.21
105998,0.27
105999,0.16
106000,0.42
106001,0.18
106010,0.24
106011,0.22
106013,0.22
106015,0.12
106026,0.19
106032,0.08
106035,0.33
106040,0.09
106041,0.19
